date,open,high,low,close,volume,average,barCount
2024-02-02 15:00:00-06:00,5036.25,5036.5,5029.0,5030.0,-1.0,-1.0,-1
2024-02-05 08:30:00-06:00,5030.0,5030.0,5021.0,5025.75,-1.0,-1.0,-1
2024-02-05 09:00:00-06:00,5025.75,5026.0,4994.0,5000.5,-1.0,-1.0,-1
2024-02-05 10:00:00-06:00,5000.5,5014.0,4999.0,5013.75,-1.0,-1.0,-1
2024-02-05 11:00:00-06:00,5013.75,5026.75,5012.25,5023.25,-1.0,-1.0,-1
2024-02-05 12:00:00-06:00,5023.25,5028.25,5018.5,5024.25,-1.0,-1.0,-1
2024-02-05 13:00:00-06:00,5024.25,5034.75,5021.25,5032.75,-1.0,-1.0,-1
2024-02-05 14:00:00-06:00,5032.75,5033.5,5017.25,5018.25,-1.0,-1.0,-1
2024-02-05 15:00:00-06:00,5018.25,5019.25,5012.5,5016.25,-1.0,-1.0,-1
2024-02-06 08:30:00-06:00,5027.0,5035.25,5021.5,5022.0,-1.0,-1.0,-1
2024-02-06 09:00:00-06:00,5022.0,5023.25,5011.5,5019.75,-1.0,-1.0,-1
2024-02-06 10:00:00-06:00,5019.75,5026.0,5013.75,5015.0,-1.0,-1.0,-1
2024-02-06 11:00:00-06:00,5015.0,5021.25,5012.25,5017.25,-1.0,-1.0,-1
2024-02-06 12:00:00-06:00,5017.25,5027.25,5016.0,5027.0,-1.0,-1.0,-1
2024-02-06 13:00:00-06:00,5027.0,5027.25,5012.5,5023.0,-1.0,-1.0,-1
2024-02-06 14:00:00-06:00,5023.0,5032.25,5017.75,5031.75,-1.0,-1.0,-1
2024-02-06 15:00:00-06:00,5031.75,5032.75,5025.5,5029.0,-1.0,-1.0,-1
2024-02-07 08:30:00-06:00,5054.75,5056.25,5045.0,5050.0,-1.0,-1.0,-1
2024-02-07 09:00:00-06:00,5050.0,5072.5,5046.25,5064.5,-1.0,-1.0,-1
2024-02-07 10:00:00-06:00,5064.5,5070.75,5060.0,5068.0,-1.0,-1.0,-1
2024-02-07 11:00:00-06:00,5068.0,5070.75,5059.5,5067.5,-1.0,-1.0,-1
2024-02-07 12:00:00-06:00,5067.5,5076.5,5062.75,5073.0,-1.0,-1.0,-1
2024-02-07 13:00:00-06:00,5073.0,5075.75,5070.0,5075.25,-1.0,-1.0,-1
2024-02-07 14:00:00-06:00,5075.25,5077.5,5068.25,5073.25,-1.0,-1.0,-1
2024-02-07 15:00:00-06:00,5073.25,5073.25,5069.75,5072.75,-1.0,-1.0,-1
2024-02-08 08:30:00-06:00,5071.0,5073.25,5066.25,5069.75,-1.0,-1.0,-1
2024-02-08 09:00:00-06:00,5069.75,5072.0,5063.0,5071.5,-1.0,-1.0,-1
2024-02-08 10:00:00-06:00,5071.5,5072.0,5062.5,5068.25,-1.0,-1.0,-1
2024-02-08 11:00:00-06:00,5068.25,5071.25,5063.5,5065.75,-1.0,-1.0,-1
2024-02-08 12:00:00-06:00,5065.75,5073.5,5064.0,5071.25,-1.0,-1.0,-1
2024-02-08 13:00:00-06:00,5071.25,5073.25,5065.5,5072.5,-1.0,-1.0,-1
2024-02-08 14:00:00-06:00,5072.5,5077.75,5068.75,5074.75,-1.0,-1.0,-1
